"mc","theta","sensit","resCri","f","h","r1_c","r1_m","r0_c","r0_m","goodPar"
60,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
66,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
72,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
78,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
84,270,-0.22214758,-2.824125679,0.998333333,0.996666667,299,300,1,0,"bad"
90,270,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1,"bad"
96,270,-0.195833142,-2.030128663,0.983333333,0.973333333,292,295,8,5,"bad"
102,270,-0.090080032,-1.599813611,0.95,0.94,282,285,18,15,"bad"
108,270,-0.225085905,-1.207961451,0.906666667,0.863333333,259,272,41,28,"bad"
114,270,-0.172512958,-0.881165087,0.833333333,0.786666667,236,250,64,50,"bad"
120,270,-0.164764152,-0.645531215,0.766666667,0.713333333,214,230,86,70,"bad"
6,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
48,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
54,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
60,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
66,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
72,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
78,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
84,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
90,285,-0.22214758,-2.824125679,0.998333333,0.996666667,299,300,1,0,"bad"
96,285,-0.496689109,-2.464707334,0.996666667,0.986666667,296,299,4,1,"bad"
102,285,-0.613098472,-2.019798638,0.99,0.956666667,287,297,13,3,"bad"
108,285,-0.2618595,-1.513923877,0.95,0.916666667,275,285,25,15,"bad"
114,285,-0.186133067,-1.188485032,0.9,0.863333333,259,270,41,30,"bad"
120,285,-0.130356052,-0.943074321,0.843333333,0.81,243,253,57,47,"bad"
6,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
48,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
54,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
60,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
66,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
72,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
78,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
84,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
90,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
96,300,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1,"bad"
102,300,-0.420990739,-2.26424428,0.993333333,0.98,294,298,6,2,"bad"
108,300,-0.405926207,-1.786349888,0.976666667,0.943333333,283,293,17,7,"bad"
114,300,-0.25399232,-1.427777435,0.94,0.903333333,271,282,29,18,"bad"
120,300,-0.162020623,-1.239494092,0.906666667,0.876666667,263,272,37,28,"bad"
