"mc","theta","sensit","resCri","f","h","r1_c","r1_m","r0_c","r0_m","goodPar"
12,75,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1,"bad"
18,75,0.608420237,-1.340643508,0.85,0.95,285,255,15,45,"bad"
24,75,0.800024988,-0.758471287,0.64,0.876666667,263,192,37,108,"bad"
30,75,0.861417649,-0.330275104,0.46,0.776666667,233,138,67,162,"bad"
36,75,0.984112019,-0.06132871,0.333333333,0.71,213,100,87,200,"bad"
42,75,0.931748291,0.229746128,0.243333333,0.593333333,178,73,122,227,"bad"
48,75,1.000849501,0.466996816,0.166666667,0.513333333,154,50,146,250,"good"
54,75,1.015616808,0.70118165,0.113333333,0.423333333,127,34,173,266,"good"
60,75,0.924444666,0.838558941,0.096666667,0.353333333,106,29,194,271,"bad"
66,75,0.91739477,0.992709238,0.073333333,0.296666667,89,22,211,278,"bad"
72,75,1.169877693,1.248975789,0.033333333,0.253333333,76,10,224,290,"bad"
78,75,1.002897313,1.379344952,0.03,0.19,57,9,243,291,"bad"
84,75,1.091611845,1.582239312,0.016666667,0.15,45,5,255,295,"bad"
90,75,0.901517114,1.677286677,0.016666667,0.11,33,5,267,295,"bad"
96,75,0.377359163,1.939365653,0.016666667,0.04,12,5,288,295,"bad"
102,75,-0.46045982,2.704969559,0.006666667,0.001666667,0,2,300,298,"bad"
108,75,-0.22214758,2.824125679,0.003333333,0.001666667,0,1,300,299,"bad"
114,75,-0.22214758,2.824125679,0.003333333,0.001666667,0,1,300,299,"bad"
120,75,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,90,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,90,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,90,0.724053578,-2.11271286,0.96,0.993333333,298,288,2,12,"bad"
24,90,0.691624243,-1.488102514,0.873333333,0.966666667,290,262,10,38,"bad"
30,90,1.124685799,-1.115727619,0.71,0.953333333,286,213,14,87,"bad"
36,90,1.285332608,-0.785189616,0.556666667,0.923333333,277,167,23,133,"good"
42,90,1.351360957,-0.499306314,0.43,0.88,264,129,36,171,"good"
48,90,1.427498405,-0.227325328,0.313333333,0.826666667,248,94,52,206,"good"
54,90,1.536076398,0.061735636,0.203333333,0.76,228,61,72,239,"good"
60,90,1.485292776,0.265605959,0.156666667,0.683333333,205,47,95,253,"good"
66,90,1.489233944,0.43036982,0.12,0.623333333,187,36,113,264,"good"
72,90,1.609920983,0.696125455,0.066666667,0.543333333,163,20,137,280,"good"
78,90,1.493884411,0.897911421,0.05,0.44,132,15,168,285,"good"
84,90,1.414413945,1.083543581,0.036666667,0.353333333,106,11,194,289,"bad"
90,90,1.268175149,1.298124517,0.026666667,0.253333333,76,8,224,292,"bad"
96,90,0.631430817,1.616496683,0.026666667,0.096666667,29,8,271,292,"bad"
102,90,-0.109985095,2.271355327,0.013333333,0.01,3,4,297,296,"bad"
108,90,0,2.713051888,0.003333333,0.003333333,1,1,299,299,"bad"
114,90,-0.22214758,2.824125679,0.003333333,0.001666667,0,1,300,299,"bad"
120,90,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,105,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,105,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,105,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1,"bad"
24,105,0.83225828,-2.296922748,0.97,0.996666667,299,291,1,9,"bad"
30,105,1.230287862,-1.859595718,0.893333333,0.993333333,298,268,2,32,"bad"
36,105,1.651858124,-1.500418812,0.75,0.99,297,225,3,75,"bad"
42,105,1.687483602,-1.088470291,0.596666667,0.973333333,292,179,8,121,"bad"
48,105,1.711746902,-0.788980176,0.473333333,0.95,285,142,15,158,"good"
54,105,1.742082039,-0.449463384,0.336666667,0.906666667,272,101,28,199,"good"
60,105,1.673920755,-0.273811239,0.286666667,0.866666667,260,86,40,214,"good"
66,105,1.568620685,-0.045463493,0.23,0.796666667,239,69,61,231,"good"
72,105,1.648114075,0.170400846,0.16,0.743333333,223,48,77,252,"good"
78,105,1.577031568,0.474268632,0.103333333,0.623333333,187,31,113,269,"good"
84,105,1.475791028,0.737895514,0.07,0.5,150,21,150,279,"good"
90,105,1.198066318,0.984353625,0.056666667,0.35,105,17,195,283,"good"
96,105,0.931179844,1.368324714,0.033333333,0.183333333,55,10,245,290,"bad"
102,105,0.098297456,1.883063364,0.026666667,0.033333333,10,8,290,292,"bad"
108,105,0,2.216362779,0.013333333,0.013333333,4,4,296,296,"bad"
114,105,-0.238312239,2.593895769,0.006666667,0.003333333,1,2,299,298,"bad"
120,105,-0.46045982,2.704969559,0.006666667,0.001666667,0,2,300,298,"bad"
6,120,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,120,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,120,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,120,0.46045982,-2.704969559,0.993333333,0.998333333,300,298,0,2,"bad"
30,120,0.659302978,-2.3834004,0.98,0.996666667,299,294,1,6,"bad"
36,120,1.330057761,-2.048023008,0.916666667,0.996666667,299,275,1,25,"bad"
42,120,1.656697873,-1.646390713,0.793333333,0.993333333,298,238,2,62,"bad"
48,120,1.595351103,-1.256073359,0.676666667,0.98,294,203,6,97,"bad"
54,120,1.813900333,-0.973843442,0.526666667,0.97,291,158,9,142,"good"
60,120,1.765201989,-0.6721726,0.416666667,0.94,282,125,18,175,"good"
66,120,1.693511716,-0.416028558,0.333333333,0.896666667,269,100,31,200,"good"
72,120,1.610766971,-0.16203808,0.26,0.833333333,250,78,50,222,"good"
78,120,1.508137709,0.161296234,0.18,0.723333333,217,54,83,246,"good"
84,120,1.379738232,0.436522013,0.13,0.6,180,39,120,261,"good"
90,120,1.141355373,0.730103588,0.096666667,0.436666667,131,29,169,271,"good"
96,120,0.801301278,1.075140389,0.07,0.25,75,21,225,279,"bad"
102,120,0.178315224,1.494229172,0.056666667,0.08,24,17,276,283,"bad"
108,120,0.040064482,1.770718312,0.036666667,0.04,12,11,288,289,"bad"
114,120,-0.074296324,2.090897072,0.02,0.016666667,5,6,295,294,"bad"
120,120,-0.585006654,2.420548561,0.016666667,0.003333333,1,5,299,295,"bad"
6,135,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,135,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,135,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,135,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,135,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1,"bad"
36,135,1.002987377,-2.43370578,0.973333333,0.998333333,300,292,0,8,"bad"
42,135,1.431500323,-1.997301727,0.9,0.996666667,299,270,1,30,"bad"
48,135,1.584492762,-1.682493268,0.813333333,0.993333333,298,244,2,56,"bad"
54,135,1.66297806,-1.384873749,0.71,0.986666667,296,213,4,87,"bad"
60,135,1.674488734,-0.996670269,0.563333333,0.966666667,290,169,10,131,"good"
66,135,1.804279529,-0.742713863,0.436666667,0.95,285,131,15,169,"good"
72,135,1.532008908,-0.460523666,0.38,0.89,267,114,33,186,"good"
78,135,1.419062904,-0.156146732,0.29,0.806666667,242,87,58,213,"good"
84,135,1.177835907,0.194582422,0.216666667,0.653333333,196,65,104,235,"good"
90,135,1.03697816,0.409654043,0.176666667,0.543333333,163,53,137,247,"good"
96,135,0.736906146,0.790030708,0.123333333,0.336666667,101,37,199,263,"bad"
102,135,0.249944001,1.175809274,0.096666667,0.146666667,44,29,256,271,"bad"
108,135,0.044861793,1.405425024,0.076666667,0.083333333,25,23,275,277,"bad"
114,135,0.137327677,1.682022233,0.04,0.053333333,16,12,284,288,"bad"
120,135,-0.172955302,1.967271259,0.03,0.02,6,9,294,291,"bad"
6,150,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,150,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,150,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,150,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,150,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,150,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1,"bad"
42,150,1.054405861,-2.407996539,0.97,0.998333333,300,291,0,9,"bad"
48,150,1.450267472,-1.987918152,0.896666667,0.996666667,299,269,1,31,"bad"
54,150,1.732201786,-1.846950996,0.836666667,0.996666667,299,251,1,49,"bad"
60,150,1.44093592,-1.333280951,0.73,0.98,294,219,6,81,"bad"
66,150,1.564829069,-1.149797557,0.643333333,0.973333333,292,193,8,107,"bad"
72,150,1.442564567,-0.779803663,0.523333333,0.933333333,280,157,20,143,"good"
78,150,1.35985382,-0.495059882,0.426666667,0.88,264,128,36,172,"good"
84,150,1.092481709,-0.097104551,0.326666667,0.74,222,98,78,202,"good"
90,150,1.040103797,0.197014167,0.236666667,0.626666667,188,71,112,229,"good"
96,150,0.663784705,0.533785832,0.193333333,0.42,126,58,174,242,"bad"
102,150,0.219866174,0.870917016,0.163333333,0.223333333,67,49,233,251,"bad"
108,150,-0.079568293,1.135202645,0.136666667,0.12,36,41,264,259,"bad"
114,150,-0.146304355,1.354703743,0.1,0.076666667,23,30,277,270,"bad"
120,150,-0.362894633,1.609303237,0.076666667,0.036666667,11,23,289,277,"bad"
6,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
