mc,theta,sensit,resCri,f,h,r1_c,r1_m,r0_c,r0_m
90,195,0.631915739,-0.692294478,0.646666667,0.843333333,253,194,47,106
96,195,0.477101199,-0.364211946,0.55,0.726666667,218,165,82,135
102,195,0.192554622,-0.029384036,0.473333333,0.55,165,142,135,158
108,195,0.026032936,0.275001044,0.386666667,0.396666667,119,116,181,184
114,195,-0.037622289,0.486509944,0.32,0.306666667,92,96,208,204
120,195,-0.020419682,0.633135564,0.266666667,0.26,78,80,222,220
6,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,210,0.46045982,-2.704969559,0.993333333,0.998333333,300,298,0,2
66,210,0.71883669,-2.575781124,0.986666667,0.998333333,300,296,0,4
72,210,1.101284833,-2.384557052,0.966666667,0.998333333,300,290,0,10
78,210,0.788506859,-1.82210935,0.923333333,0.986666667,296,277,4,23
84,210,0.768452091,-1.44968859,0.856666667,0.966666667,290,257,10,43
90,210,0.4591206,-0.979429754,0.773333333,0.886666667,266,232,34,68
96,210,0.406884444,-0.699292569,0.69,0.816666667,245,207,55,93
102,210,0.053298877,-0.34968717,0.626666667,0.646666667,194,188,106,112
108,210,-0.050144823,-0.016716887,0.516666667,0.496666667,149,155,151,145
114,210,-0.051355244,0.219050868,0.423333333,0.403333333,121,127,179,173
120,210,-0.090350144,0.394738094,0.363333333,0.33,99,109,201,191
6,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,225,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,225,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1
72,225,0.807154235,-2.531622352,0.983333333,0.998333333,300,295,0,5
78,225,0.603004385,-1.914860587,0.946666667,0.986666667,296,284,4,16
84,225,0.745051107,-1.755519681,0.916666667,0.983333333,295,275,5,25
90,225,0.340635006,-1.28108912,0.866666667,0.926666667,278,260,22,40
96,225,0.304895823,-1.006035869,0.803333333,0.876666667,263,241,37,59
102,225,0.061274398,-0.633399744,0.726666667,0.746666667,224,218,76,82
108,225,-0.12333589,-0.323652521,0.65,0.603333333,181,195,119,105
114,225,-0.159234945,-0.06290584,0.556666667,0.493333333,148,167,152,133
120,225,-0.117740421,0.109023794,0.48,0.433333333,130,144,170,156
6,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,240,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
72,240,0.608851595,-2.630773671,0.99,0.998333333,300,297,0,3
78,240,0.346694415,-2.301392442,0.983333333,0.993333333,298,295,2,5
84,240,0.394135782,-2.129279983,0.973333333,0.99,297,292,3,8
90,240,0.379707662,-1.690939777,0.933333333,0.97,291,280,9,20
96,240,0.424903003,-1.370935283,0.876666667,0.943333333,283,263,17,37
102,240,0.025709443,-0.928219809,0.82,0.826666667,248,246,52,54
108,240,-0.138818818,-0.584246783,0.743333333,0.696666667,209,223,91,77
114,240,-0.183907138,-0.302381963,0.653333333,0.583333333,175,196,125,104
120,240,-0.08415604,-0.117347882,0.563333333,0.53,159,169,141,131
6,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
